Bib,Times
20,27:13.84
6,27:36.78
13,28:07.14
3,28:16.89
17,28:33.90
34,28:34.46
46,28:44.08
53,29:00.89
41,29:33.43
55,29:39.83
10,29:46.37
36,29:48.58
33,29:51.56
4,30:11.16
49,30:24.92
30,30:32.54
38,30:51.64
29,30:53.73
9,31:01.40
40,31:10.15
21,31:42.04
5,31:56.46
27,31:59.63
12,32:05.51
52,32:19.34
50,32:35.13
54,32:41.76
42,33:09.30
8,33:14.05
48,33:20.36
35,33:32.24
56,33:47.86
32,33:50.73
47,33:51.99
23,34:17.75
43,34:41.32
24,35:17.98
51,35:35.41
37,36:53.57
11,37:12.71
18,37:19.55
60,37:32.14
58,37:59.07
19,38:27.47
16,38:29.16
26,38:59.69
28,40:40.92
14,40:44.19
44,41:06.49
7,41:45.87
25,44:22.91
22,44:36.84
57,46:09.65
31,51:09.91
